Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,51.574,51.839,51.125,51.656,2884009,0.0,0.0
2017-01-04,51.887,52.166,51.628,51.785,1439426,0.0,0.0
2017-01-05,51.703,51.785,50.581,51.179,2267480,0.0,0.0
2017-01-06,51.315,51.39,50.921,51.064,2579418,0.0,0.0
2017-01-09,51.023,51.254,50.846,50.955,1971654,0.0,0.0
2017-01-10,51.125,51.805,50.941,51.71,2068716,0.0,0.0
2017-01-11,51.982,52.533,51.662,52.492,2424480,0.0,0.0
2017-01-12,52.418,52.458,51.159,52.139,2110738,0.0,0.0
2017-01-13,52.315,52.86,52.254,52.567,1353063,0.0,0.0
2017-01-17,52.234,52.608,51.914,52.105,1878718,0.0,0.0
2017-01-18,52.309,52.486,52.037,52.479,2052990,0.0,0.0
2017-01-19,52.56,53.275,52.56,53.234,3199040,0.0,0.0
2017-01-20,53.418,53.554,53.166,53.499,2807313,0.0,0.0
2017-01-23,53.39,53.452,53.043,53.35,2466115,0.0,0.0
2017-01-24,53.431,54.615,53.431,54.146,3736424,0.0,0.0
2017-01-25,54.731,55.016,54.458,54.697,3976049,0.0,0.0
2017-01-26,54.588,54.907,54.424,54.54,2492410,0.0,0.0
2017-01-27,54.724,54.873,54.35,54.424,2290166,0.0,0.0
2017-01-30,54.016,54.214,53.52,54.118,2951166,0.0,0.0
2017-01-31,54.05,54.214,53.322,53.982,3667978,0.0,0.0
2017-02-01,52.499,53.969,52.384,53.064,5388149,0.0,0.0
2017-02-02,53.064,53.506,52.73,53.064,3012264,0.0,0.0
2017-02-03,53.322,53.785,53.152,53.758,1885936,0.0,0.0
2017-02-06,53.554,54.424,53.336,54.363,3144902,0.0,0.0
2017-02-07,54.431,54.894,54.241,54.322,2753562,0.0,0.0
2017-02-08,54.22,54.561,54.03,54.479,2193491,0.0,0.0
2017-02-09,54.479,55.275,54.479,54.982,2017285,0.0,0.0
2017-02-10,55.105,55.778,54.975,55.234,3623121,0.0,0.0
2017-02-13,55.411,55.901,55.316,55.771,3519872,0.0,0.0
2017-02-14,55.622,55.649,55.159,55.561,2221849,0.0,0.0
2017-02-15,55.499,55.778,55.18,55.527,2467404,0.0,0.0
2017-02-16,55.561,55.622,54.901,55.173,2573617,0.0,0.0
2017-02-17,55.044,55.282,54.703,55.098,2191687,0.0,0.0
2017-02-21,55.064,55.581,55.01,55.452,1930793,0.0,0.0
2017-02-22,55.152,55.547,54.982,55.445,2311435,0.0,0.0
2017-02-23,55.771,55.88,54.975,55.268,1944457,0.0,0.0
2017-02-24,54.88,55.322,54.54,55.322,1913263,0.0,0.0
2017-02-27,55.309,55.404,55.037,55.132,2027597,0.0,0.0
2017-02-28,55.125,55.2,53.955,53.989,3999509,0.0,0.0
2017-03-01,54.717,55.506,54.717,55.105,3902963,0.0,0.0
2017-03-02,55.003,55.057,54.356,54.438,1767219,0.0,0.0
2017-03-03,54.513,54.608,53.867,54.397,1752653,0.0,0.0
2017-03-06,53.989,54.193,53.744,53.975,2157657,0.0,0.0
2017-03-07,53.941,54.227,53.907,54.146,2786302,0.0,0.0
2017-03-08,54.166,54.508,54.07,54.132,2139740,0.31,0.0
2017-03-09,54.173,54.378,53.428,53.742,1642959,0.0,0.0
2017-03-10,54.193,54.46,53.592,54.351,1664615,0.0,0.0
2017-03-13,54.351,54.515,54.228,54.467,1273016,0.0,0.0
2017-03-14,54.166,54.289,53.769,54.022,1508517,0.0,0.0
2017-03-15,54.344,55.54,54.173,55.253,2079673,0.0,0.0
2017-03-16,55.52,55.568,54.802,55.075,1710632,0.0,0.0
2017-03-17,55.322,55.513,54.904,55.376,2541392,0.0,0.0
2017-03-20,55.944,56.033,55.212,55.561,2037264,0.0,0.0
2017-03-21,55.766,55.882,54.146,54.262,2158559,0.0,0.0
2017-03-22,54.207,54.617,54.043,54.44,1423829,0.0,0.0
2017-03-23,54.412,54.877,54.043,54.569,819031,0.0,0.0
2017-03-24,54.583,54.809,53.913,54.139,1264509,0.0,0.0
2017-03-27,53.585,54.022,52.826,53.715,2130330,0.0,0.0
2017-03-28,53.763,54.74,53.462,54.487,2130073,0.0,0.0
2017-03-29,54.282,54.617,54.214,54.576,1928731,0.0,0.0
2017-03-30,54.453,55.328,54.412,55.315,1573482,0.0,0.0
2017-03-31,55.11,55.78,55.069,55.602,2528760,0.0,0.0
2017-04-03,55.773,55.998,55.028,55.534,3175580,0.0,0.0
2017-04-04,55.479,55.745,55.151,55.711,1657654,0.0,0.0
2017-04-05,55.841,56.833,55.787,55.978,3302676,0.0,0.0
2017-04-06,56.033,57.024,55.889,56.525,2268124,0.0,0.0
2017-04-07,56.402,56.819,56.313,56.491,2221463,0.0,0.0
2017-04-10,56.484,57.25,56.463,56.922,2271476,0.0,0.0
2017-04-11,56.874,57.427,56.58,57.195,2342371,0.0,0.0
2017-04-12,57.147,57.147,56.087,56.265,2911335,0.0,0.0
2017-04-13,56.087,56.976,55.944,55.971,3092698,0.0,0.0
2017-04-17,56.224,56.333,55.923,56.231,2575293,0.0,0.0
2017-04-18,55.862,56.21,55.554,56.019,2457221,0.0,0.0
2017-04-19,56.327,56.477,55.745,55.964,2174156,0.0,0.0
2017-04-20,56.34,56.928,56.026,56.58,2214631,0.0,0.0
2017-04-21,56.737,57.017,56.429,56.771,1942265,0.0,0.0
2017-04-24,57.701,58.091,57.024,57.564,2089598,0.0,0.0
2017-04-25,58.063,58.768,57.892,58.569,3026314,0.0,0.0
2017-04-26,59.397,60.894,59.116,60.634,4065248,0.0,0.0
2017-04-27,60.655,61.366,60.511,61.024,2674031,0.0,0.0
2017-04-28,61.106,61.243,60.45,60.682,2262840,0.0,0.0
2017-05-01,60.874,60.874,60.162,60.703,1853195,0.0,0.0
2017-05-02,60.874,61.133,60.648,61.058,1762450,0.0,0.0
2017-05-03,60.805,61.051,60.586,60.921,1892639,0.0,0.0
2017-05-04,61.133,61.448,60.785,61.414,1822259,0.0,0.0
2017-05-05,61.571,61.66,61.236,61.544,1350743,0.0,0.0
2017-05-08,61.455,61.639,60.99,61.127,1872015,0.0,0.0
2017-05-09,61.222,61.448,60.942,61.099,1422927,0.0,0.0
2017-05-10,61.099,61.215,59.78,60.525,3942664,0.0,0.0
2017-05-11,60.47,60.566,59.732,60.463,2067685,0.0,0.0
2017-05-12,60.347,60.429,60.067,60.176,2139353,0.0,0.0
2017-05-15,60.251,60.655,60.176,60.532,1670415,0.0,0.0
2017-05-16,60.839,60.908,60.422,60.723,1707281,0.0,0.0
2017-05-17,60.723,60.723,59.827,59.971,2272120,0.0,0.0
2017-05-18,59.684,60.716,59.267,60.286,2005039,0.0,0.0
2017-05-19,60.757,61.359,60.354,61.017,1833087,0.0,0.0
2017-05-22,61.407,61.475,60.805,61.01,1505036,0.0,0.0
2017-05-23,61.154,61.297,60.634,60.874,1471136,0.0,0.0
2017-05-24,61.003,61.311,60.422,60.525,2724430,0.0,0.0
2017-05-25,60.887,61.174,60.566,61.065,1274177,0.0,0.0
2017-05-26,60.908,61.421,60.908,61.092,848162,0.0,0.0
2017-05-30,60.942,61.12,60.538,60.983,1141410,0.0,0.0
2017-05-31,60.703,61.366,60.463,61.263,1998466,0.0,0.0
2017-06-01,61.516,61.53,60.798,61.263,1766575,0.0,0.0
2017-06-02,61.263,61.516,61.065,61.181,1461726,0.0,0.0
2017-06-05,61.079,61.482,60.915,61.092,2434663,0.0,0.0
2017-06-06,60.764,61.12,60.231,60.791,1754974,0.0,0.0
2017-06-07,61.156,61.341,60.215,60.53,2620279,0.31,0.0
2017-06-08,60.53,60.62,60.249,60.421,2182664,0.0,0.0
2017-06-09,60.441,60.695,60.201,60.517,2237317,0.0,0.0
2017-06-12,60.51,60.661,60.235,60.331,2123628,0.0,0.0
2017-06-13,60.53,61.588,60.414,61.588,2348945,0.0,0.0
2017-06-14,61.856,61.932,60.64,60.915,2227521,0.0,0.0
2017-06-15,60.441,61.719,60.393,61.719,1464304,0.0,0.0
2017-06-16,61.815,63.422,61.739,63.422,5321250,0.0,0.0
2017-06-19,63.628,63.992,63.436,63.594,2517933,0.0,0.0
2017-06-20,63.243,63.408,62.591,62.673,2116538,0.0,0.0
2017-06-21,62.9,63.037,62.042,62.145,2542424,0.0,0.0
2017-06-22,62.193,62.488,62.083,62.309,1650822,0.0,0.0
2017-06-23,62.316,62.783,62.042,62.557,2352812,0.0,0.0
2017-06-26,62.749,63.086,62.419,62.454,2974110,0.0,0.0
2017-06-27,62.426,62.612,61.945,62.165,2046674,0.0,0.0
2017-06-28,62.515,63.072,62.392,62.934,1733576,0.0,0.0
2017-06-29,62.948,63.044,61.636,62.069,1969850,0.0,0.0
2017-06-30,62.282,63.113,62.165,62.77,1509032,0.0,0.0
2017-07-03,62.989,63.182,62.783,62.804,972808,0.0,0.0
2017-07-05,62.77,63.367,62.721,63.298,1420091,0.0,0.0
2017-07-06,63.161,63.559,63.003,63.271,2186402,0.0,0.0
2017-07-07,63.305,64.233,62.831,64.047,2389677,0.0,0.0
2017-07-10,64.054,64.83,63.992,64.377,1677762,0.0,0.0
2017-07-11,64.239,64.349,63.546,63.814,1733963,0.0,0.0
2017-07-12,64.294,64.809,64.171,64.226,1592560,0.0,0.0
2017-07-13,64.246,64.425,63.443,63.772,1545898,0.0,0.0
2017-07-14,63.745,63.848,63.134,63.759,1641413,0.0,0.0
2017-07-17,63.662,64.054,62.879,63.923,1850617,0.0,0.0
2017-07-18,63.69,63.896,63.209,63.504,1559948,0.0,0.0
2017-07-19,63.704,64.068,63.333,64.013,1613699,0.0,0.0
2017-07-20,63.992,64.02,62.989,63.312,1797511,0.0,0.0
2017-07-21,63.003,63.312,62.639,62.962,1545511,0.0,0.0
2017-07-24,62.825,62.914,62.385,62.536,1889545,0.0,0.0
2017-07-25,63.079,63.079,62.138,62.138,2047834,0.0,0.0
2017-07-26,61.417,61.417,58.923,59.713,6181657,0.0,0.0
2017-07-27,59.727,60.579,59.699,60.29,2834769,0.0,0.0
2017-07-28,60.173,60.963,59.789,60.812,2073743,0.0,0.0
2017-07-31,60.991,61.396,60.269,60.359,1854098,0.0,0.0
2017-08-01,60.496,60.757,59.15,59.404,2922679,0.0,0.0
2017-08-02,59.102,59.933,59.102,59.857,3160370,0.0,0.0
2017-08-03,59.947,60.146,59.184,59.569,2562919,0.0,0.0
2017-08-04,59.816,60.792,59.644,60.565,1988411,0.0,0.0
2017-08-07,60.517,60.62,60.105,60.51,1733189,0.0,0.0
2017-08-08,60.462,60.524,59.974,60.098,1479128,0.0,0.0
2017-08-09,59.954,60.166,59.672,59.933,1134062,0.0,0.0
2017-08-10,59.521,59.802,58.319,58.367,3157921,0.0,0.0
2017-08-11,58.223,58.752,58.113,58.443,2608292,0.0,0.0
2017-08-14,58.916,59.28,58.875,59.006,1494724,0.0,0.0
2017-08-15,59.013,59.555,58.992,59.205,1710116,0.0,0.0
2017-08-16,59.37,59.665,59.232,59.576,1819939,0.0,0.0
2017-08-17,59.294,59.624,58.635,58.697,1997821,0.0,0.0
2017-08-18,58.697,59.205,58.305,58.504,1719397,0.0,0.0
2017-08-21,58.443,58.614,58.216,58.47,1070515,0.0,0.0
2017-08-22,58.511,59.301,58.511,59.15,840686,0.0,0.0
2017-08-23,58.848,59.116,57.921,57.969,1946261,0.0,0.0
2017-08-24,58.099,58.236,57.426,57.536,1999368,0.0,0.0
2017-08-25,57.886,58.47,57.886,58.127,1510579,0.0,0.0
2017-08-28,58.381,58.381,57.481,57.598,1818263,0.0,0.0
2017-08-29,57.282,57.914,57.055,57.886,1999883,0.0,0.0
2017-08-30,57.721,58.944,57.55,58.745,1961085,0.0,0.0
2017-08-31,58.985,59.054,58.127,58.649,2804864,0.0,0.0
2017-09-01,58.999,59.143,58.415,58.436,1554147,0.0,0.0
2017-09-05,58.339,58.697,58.099,58.23,2025019,0.0,0.0
2017-09-06,58.614,58.896,57.653,57.962,2199679,0.0,0.0
2017-09-07,58.086,58.777,57.52,58.735,2222365,0.349,0.0
2017-09-08,58.549,61.193,58.397,60.392,3842380,0.0,0.0
2017-09-11,60.82,61.131,60.33,61.124,2548353,0.0,0.0
2017-09-12,61.463,62.464,61.442,62.153,2491895,0.0,0.0
2017-09-13,61.877,62.699,61.739,62.402,1926153,0.0,0.0
2017-09-14,62.208,62.353,61.525,62.16,2358999,0.0,0.0
2017-09-15,61.829,62.077,61.428,61.76,3156761,0.0,0.0
2017-09-18,61.96,62.547,61.87,62.498,1886709,0.0,0.0
2017-09-19,62.533,63.182,62.409,62.464,2468177,0.0,0.0
2017-09-20,61.525,61.884,61.124,61.663,2041518,0.0,0.0
2017-09-21,61.67,61.911,61.539,61.621,1661908,0.0,0.0
2017-09-22,61.525,61.773,61.035,61.4,2085215,0.0,0.0
2017-09-25,61.463,61.663,60.675,61.352,2216693,0.0,0.0
2017-09-26,61.352,61.566,61.021,61.283,1761161,0.0,0.0
2017-09-27,61.642,61.697,60.634,60.8,2103132,0.0,0.0
2017-09-28,60.703,60.972,60.323,60.89,1598360,0.0,0.0
2017-09-29,60.883,61.78,60.82,61.573,2274312,0.0,0.0
2017-10-02,61.711,62.146,61.373,62.119,2164102,0.0,0.0
2017-10-03,62.112,62.243,61.739,62.243,1506068,0.0,0.0
2017-10-04,62.07,62.927,62.07,62.464,1972814,0.0,0.0
2017-10-05,62.637,62.975,62.422,62.761,1846750,0.0,0.0
2017-10-06,62.906,64.059,62.775,63.562,2776377,0.0,0.0
2017-10-09,63.527,64.052,63.417,63.569,1617308,0.0,0.0
2017-10-10,63.783,63.783,62.761,63.099,1249428,0.0,0.0
2017-10-11,63.148,63.196,62.857,63.134,1566522,0.0,0.0
2017-10-12,63.044,63.527,62.906,63.099,1933371,0.0,0.0
2017-10-13,63.431,63.693,62.989,63.058,1002069,0.0,0.0
2017-10-16,63.265,63.265,62.768,63.044,1462113,0.0,0.0
2017-10-17,62.581,62.975,62.291,62.906,2197745,0.0,0.0
2017-10-18,62.989,63.148,62.657,62.989,1452961,0.0,0.0
2017-10-19,62.761,62.92,62.381,62.892,2151470,0.0,0.0
2017-10-20,63.313,64.577,63.217,64.57,1988540,0.0,0.0
2017-10-23,64.508,65.827,64.363,64.743,2686792,0.0,0.0
2017-10-24,65.171,66.448,64.867,66.02,3247249,0.0,0.0
2017-10-25,62.547,64.563,61.608,63.058,6230897,0.0,0.0
2017-10-26,63.562,63.866,62.561,62.602,2765292,0.0,0.0
2017-10-27,61.863,63.023,61.691,62.94,3145418,0.0,0.0
2017-10-30,62.754,62.92,61.366,61.373,2447940,0.0,0.0
2017-10-31,61.256,61.594,60.758,61.18,3851661,0.0,0.0
2017-11-01,61.628,61.718,60.303,60.441,2203417,0.0,0.0
2017-11-02,60.455,60.841,59.405,60.489,3253952,0.0,0.0
2017-11-03,60.213,60.558,59.253,59.557,3855786,0.0,0.0
2017-11-06,59.605,60.247,59.212,59.488,2056342,0.0,0.0
2017-11-07,59.667,59.716,58.804,59.08,1942265,0.0,0.0
2017-11-08,59.129,59.322,58.431,59.163,1910556,0.0,0.0
2017-11-09,58.707,58.832,57.872,58.286,2020121,0.0,0.0
2017-11-10,57.969,58.783,57.844,58.666,1786683,0.0,0.0
2017-11-13,58.335,58.88,58.266,58.528,2167325,0.0,0.0
2017-11-14,58.383,58.88,58.314,58.487,2263226,0.0,0.0
2017-11-15,58.031,58.121,57.52,57.561,1988798,0.0,0.0
2017-11-16,57.934,58.991,57.913,58.873,2251883,0.0,0.0
2017-11-17,58.438,58.908,58.107,58.777,1713726,0.0,0.0
2017-11-20,58.942,59.37,58.466,58.507,2046932,0.0,0.0
2017-11-21,58.777,59.025,58.321,58.887,2279854,0.0,0.0
2017-11-22,58.935,59.004,58.348,58.411,1522309,0.0,0.0
2017-11-24,58.611,58.659,57.976,58.162,890055,0.0,0.0
2017-11-27,58.162,58.694,58.127,58.507,1629167,0.0,0.0
2017-11-28,58.673,60.123,58.328,59.833,3114224,0.0,0.0
2017-11-29,60.151,60.206,59.17,59.433,2354230,0.0,0.0
2017-11-30,59.619,60.917,59.543,60.503,3087542,0.0,0.0
2017-12-01,60.385,60.731,58.604,59.529,2264515,0.0,0.0
2017-12-04,60.075,60.254,58.77,58.777,3087413,0.0,0.0
2017-12-05,58.88,59.073,58.245,58.404,2585347,0.0,0.0
2017-12-06,58.21,59.798,57.803,59.564,3147738,0.0,0.0
2017-12-07,59.716,60.542,59.411,59.904,1886194,0.349,0.0
2017-12-08,61.313,61.806,60.438,60.813,2808473,0.0,0.0
2017-12-11,60.772,61.396,60.772,60.959,3027474,0.0,0.0
2017-12-12,61.146,61.16,59.918,59.959,2061240,0.0,0.0
2017-12-13,60.008,60.723,59.487,60.48,2568075,0.0,0.0
2017-12-14,60.744,61.008,59.703,59.716,1537390,0.0,0.0
2017-12-15,60.306,60.667,59.869,60.216,3675068,0.0,0.0
2017-12-18,60.418,60.973,60.091,60.14,1922801,0.0,0.0
2017-12-19,60.39,60.584,59.897,60.209,1503103,0.0,0.0
2017-12-20,60.626,60.945,60.195,60.536,1402948,0.0,0.0
2017-12-21,60.855,62.958,60.674,62.736,4158056,0.0,0.0
2017-12-22,62.875,62.916,61.868,62.313,1680598,0.0,0.0
2017-12-26,62.361,62.361,61.785,61.924,676209,0.0,0.0
2017-12-27,62.09,62.104,61.771,61.854,982476,0.0,0.0
2017-12-28,62.083,62.083,61.431,61.938,848807,0.0,0.0
2017-12-29,62.181,62.59,61.91,61.91,1213594,0.0,0.0
2018-01-02,62.285,62.437,60.945,61.604,2448456,0.0,0.0
2018-01-03,61.549,62.514,61.403,62.437,1656881,0.0,0.0
2018-01-04,62.521,63.354,62.41,62.743,1665388,0.0,0.0
2018-01-05,62.93,63.069,62.014,62.271,1800089,0.0,0.0
2018-01-08,62.5,63.118,62.375,62.764,2547837,0.0,0.0
2018-01-09,62.979,63.381,62.771,63.09,2293389,0.0,0.0
2018-01-10,63.076,63.236,62.542,63.152,1927442,0.0,0.0
2018-01-11,63.166,64.409,63.007,63.853,2446264,0.0,0.0
2018-01-12,64.117,64.117,62.944,63.236,2248145,0.0,0.0
2018-01-16,63.777,63.812,62.458,62.653,1870984,0.0,0.0
2018-01-17,62.798,62.972,62.292,62.597,1502716,0.0,0.0
2018-01-18,62.41,63.25,62.16,62.701,1595266,0.0,0.0
2018-01-19,63.027,63.201,62.555,63.118,1473585,0.0,0.0
2018-01-22,62.972,63.048,61.965,62.361,1543191,0.0,0.0
2018-01-23,63.361,63.756,62.701,63.701,2118858,0.0,0.0
2018-01-24,63.992,64.791,63.645,63.847,2248918,0.0,0.0
2018-01-25,64.312,64.312,63.076,63.562,1380906,0.0,0.0
2018-01-26,63.854,65.152,63.513,65.124,2087407,0.0,0.0
2018-01-29,64.992,66.054,64.964,65.158,2670808,0.0,0.0
2018-01-30,64.839,65.207,63.708,64.228,3238613,0.0,0.0
2018-01-31,64.811,65.79,63.381,65.686,5681268,0.0,0.0
2018-02-01,65.492,67.796,65.422,67.053,4684226,0.0,0.0
2018-02-02,66.616,66.963,65.998,66.109,3353076,0.0,0.0
2018-02-05,65.624,66.137,62.715,62.84,4884408,0.0,0.0
2018-02-06,61.577,64.062,60.966,63.687,3909021,0.0,0.0
2018-02-07,63.673,64.978,63.27,63.298,2719532,0.0,0.0
2018-02-08,63.257,63.361,60.765,60.806,2721724,0.0,0.0
2018-02-09,61.577,62.389,59.522,61.889,3031341,0.0,0.0
2018-02-12,62.389,63.673,62.243,63.104,1914036,0.0,0.0
2018-02-13,62.507,63.104,62.215,62.653,1510966,0.0,0.0
2018-02-14,62.257,62.979,62.007,62.743,2387486,0.0,0.0
2018-02-15,63.347,64.11,62.382,63.867,2036491,0.0,0.0
2018-02-16,63.673,64.721,63.021,63.187,2527987,0.0,0.0
2018-02-20,62.812,63.305,62.264,62.5,2125819,0.0,0.0
2018-02-21,62.611,63.34,61.986,62.479,3847923,0.0,0.0
2018-02-22,62.882,63.583,62.542,62.687,1669384,0.0,0.0
2018-02-23,63.152,63.263,62.174,62.576,2002461,0.0,0.0
2018-02-26,62.673,63.152,61.924,62.923,2785142,0.0,0.0
2018-02-27,62.979,63.701,62.528,62.528,1992923,0.0,0.0
2018-02-28,62.847,63.437,61.632,61.639,2341726,0.0,0.0
2018-03-01,61.764,61.813,59.564,59.605,3435830,0.0,0.0
2018-03-02,59.071,60.091,58.342,59.897,3684220,0.0,0.0
2018-03-05,59.571,60.133,59.029,59.848,4578786,0.0,0.0
2018-03-06,60.23,61.014,59.661,60.383,2540103,0.0,0.0
2018-03-07,59.543,60.737,59.536,60.549,2568075,0.0,0.0
2018-03-08,60.842,61.156,60.41,61.038,2516128,0.349,0.0
2018-03-09,61.582,62.545,61.31,62.538,2601202,0.0,0.0
2018-03-12,62.552,62.768,61.331,61.456,1772504,0.0,0.0
2018-03-13,61.77,62.343,61.268,61.568,1814396,0.0,0.0
2018-03-14,62.008,62.231,61.261,61.624,1813365,0.0,0.0
2018-03-15,61.75,63.019,61.484,62.95,3031341,0.0,0.0
2018-03-16,62.901,62.936,62.07,62.433,2991898,0.0,0.0
2018-03-19,62.294,62.377,61.142,61.763,1217847,0.0,0.0
2018-03-20,61.952,62.81,61.847,62.07,1450641,0.0,0.0
2018-03-21,62.203,62.859,61.994,62.091,1752782,0.0,0.0
2018-03-22,61.394,61.394,59.901,60.061,1643475,0.0,0.0
2018-03-23,60.256,60.256,58.338,58.512,2009551,0.0,0.0
2018-03-26,59.342,60.201,58.847,60.124,1962631,0.0,0.0
2018-03-27,60.41,60.577,58.993,59.307,1656623,0.0,0.0
2018-03-28,59.377,59.761,58.331,58.575,1812850,0.0,0.0
2018-03-29,58.938,60.194,58.938,59.663,1283200,0.0,0.0
2018-04-02,59.412,59.782,57.165,58.017,1955026,0.0,0.0
2018-04-03,58.261,58.973,57.779,58.945,1467140,0.0,0.0
2018-04-04,57.486,59.44,57.312,59.335,1799831,0.0,0.0
2018-04-05,60.305,60.354,59.524,59.914,1931824,0.0,0.0
2018-04-06,59.217,59.614,57.382,58.045,2383361,0.0,0.0
2018-04-09,58.393,58.693,57.633,57.745,2063947,0.0,0.0
2018-04-10,58.414,59.377,58.233,58.903,1397018,0.0,0.0
2018-04-11,58.338,58.617,58.052,58.324,956309,0.0,0.0
2018-04-12,58.666,59.14,58.652,58.819,1286938,0.0,0.0
2018-04-13,59.266,59.517,58.4,58.7,1212949,0.0,0.0
2018-04-16,59.28,59.468,58.826,59.3,1316327,0.0,0.0
2018-04-17,59.656,60.284,59.566,60.047,1824837,0.0,0.0
2018-04-18,60.431,60.808,60.173,60.256,1309237,0.0,0.0
2018-04-19,60.242,60.305,58.331,58.952,3034693,0.0,0.0
2018-04-20,58.763,59.056,57.661,58.303,3822916,0.0,0.0
2018-04-23,58.338,58.931,58.017,58.093,2511359,0.0,0.0
2018-04-24,58.352,58.784,55.561,56.091,4991910,0.0,0.0
2018-04-25,58.791,59.587,57.312,59.419,5515244,0.0,0.0
2018-04-26,59.531,59.754,58.093,59.314,5020011,0.0,0.0
2018-04-27,59.182,60.18,58.617,60.082,3008784,0.0,0.0
2018-04-30,60.124,60.354,58.372,58.533,3070656,0.0,0.0
2018-05-01,58.303,60.012,58.268,59.956,3637042,0.0,0.0
2018-05-02,59.956,60.354,59.37,59.461,3035853,0.0,0.0
2018-05-03,59.307,60.228,58.673,59.984,2988804,0.0,0.0
2018-05-04,59.559,60.891,59.342,60.473,1753298,0.0,0.0
2018-05-07,60.703,61.233,60.542,60.975,2341469,0.0,0.0
2018-05-08,60.877,61.666,60.717,61.456,2141287,0.0,0.0
2018-05-09,61.666,61.98,61.366,61.791,2247243,0.0,0.0
2018-05-10,61.959,62.482,61.757,61.91,1726744,0.0,0.0
2018-05-11,62.015,62.454,61.575,61.973,1700836,0.0,0.0
2018-05-14,62.105,62.65,62.077,62.21,1460824,0.0,0.0
2018-05-15,62.008,62.384,61.791,62.015,1808596,0.0,0.0
2018-05-16,62.057,62.531,61.652,61.75,1942394,0.0,0.0
2018-05-17,61.826,63.124,61.826,62.775,2188464,0.0,0.0
2018-05-18,62.726,62.936,62.587,62.733,1874335,0.0,0.0
2018-05-21,63.312,64.219,63.285,63.906,1826126,0.0,0.0
2018-05-22,64.003,64.24,63.396,63.417,1511353,0.0,0.0
2018-05-23,63.012,63.082,62.573,62.978,1827931,0.0,0.0
2018-05-24,62.964,63.585,62.74,62.845,2291971,0.0,0.0
2018-05-25,62.594,63.082,62.419,62.664,1351001,0.0,0.0
2018-05-29,62.14,62.733,61.47,61.987,1734994,0.0,0.0
2018-05-30,62.461,62.859,62.21,62.559,1816201,0.0,0.0
2018-05-31,62.677,62.705,60.94,61.08,2564852,0.0,0.0
2018-06-01,61.694,62.105,61.338,61.589,1282168,0.0,0.0
2018-06-04,62.064,62.426,61.345,61.456,1122203,0.0,0.0
2018-06-05,61.526,61.84,61.24,61.687,1444840,0.0,0.0
2018-06-06,61.75,63.012,61.505,62.894,2311435,0.0,0.0
2018-06-07,63.09,63.623,62.733,63.532,1429372,0.349,0.0
2018-06-08,63.567,63.686,63.244,63.595,1017150,0.0,0.0
2018-06-11,64.198,65.502,63.89,65.236,2491508,0.0,0.0
2018-06-12,65.264,65.397,64.233,64.815,2478103,0.0,0.0
2018-06-13,64.752,64.752,63.826,63.918,2239509,0.0,0.0
2018-06-14,64.163,64.885,63.911,64.451,1612539,0.0,0.0
2018-06-15,64.1,64.983,63.392,64.612,3248925,0.0,0.0
2018-06-18,64.1,64.556,63.651,64.528,1065616,0.0,0.0
2018-06-19,63.974,64.366,63.055,63.826,1566393,0.0,0.0
2018-06-20,64.1,64.261,63.462,63.742,1023853,0.0,0.0
2018-06-21,63.532,63.581,62.796,63.02,2661141,0.0,0.0
2018-06-22,63.532,63.953,63.293,63.644,1782945,0.0,0.0
2018-06-25,63.223,63.23,62.389,62.964,1414162,0.0,0.0
2018-06-26,63.23,63.427,62.389,62.459,2224298,0.0,0.0
2018-06-27,63.041,63.988,62.312,62.333,2050541,0.0,0.0
2018-06-28,62.333,63.139,61.667,62.396,1749044,0.0,0.0
2018-06-29,62.789,63.574,62.522,62.922,2060853,0.0,0.0
2018-07-02,62.501,62.726,61.891,62.711,1682403,0.0,0.0
2018-07-03,62.992,63.679,62.81,63.069,1307304,0.0,0.0
2018-07-05,63.532,63.862,63.027,63.434,1898568,0.0,0.0
2018-07-06,63.258,63.392,62.655,63.02,1894186,0.0,0.0
2018-07-09,63.392,64.689,63.392,64.31,1793901,0.0,0.0
2018-07-10,64.31,64.773,63.939,64.128,991112,0.0,0.0
2018-07-11,63.497,63.497,62.564,62.606,1468429,0.0,0.0
2018-07-12,63.202,63.406,62.494,63.027,1348036,0.0,0.0
2018-07-13,62.894,63.939,62.852,63.847,1016892,0.0,0.0
2018-07-16,63.77,63.939,62.894,63.083,1328057,0.0,0.0
2018-07-17,63.09,63.911,62.852,63.735,1241049,0.0,0.0
